                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                 1.5415,                 1.1103,                  1.235,                0.70075,                0.73993,                0.71176,                0.44543,                 1.4395,                 1.3694,                 1.0843,               0.006139,               0.006139,               0.006139
                    120,                 1.5492,                 1.1195,                  1.228,                0.70333,                0.74166,                0.71056,                  0.444,                 1.4408,                 1.3752,                 1.0864,               0.006106,               0.006106,               0.006106
                    121,                 1.5323,                 1.0898,                 1.2121,                0.70754,                0.73974,                0.71089,                0.44581,                 1.4416,                 1.3711,                 1.0873,               0.006073,               0.006073,               0.006073
                    122,                 1.5324,                 1.0959,                 1.2196,                0.70841,                0.73993,                0.71406,                0.44626,                 1.4377,                 1.3611,                 1.0842,                0.00604,                0.00604,                0.00604
                    123,                 1.5367,                 1.0992,                 1.2181,                0.71018,                0.74126,                0.71509,                0.44886,                 1.4309,                 1.3499,                 1.0823,               0.006007,               0.006007,               0.006007
                    124,                 1.5406,                 1.0991,                 1.2208,                0.71053,                0.74157,                0.71254,                0.44673,                 1.4359,                 1.3686,                 1.0872,               0.005974,               0.005974,               0.005974
                    125,                 1.5264,                 1.1138,                 1.2219,                0.71283,                0.74279,                0.71322,                0.44626,                 1.4457,                 1.3882,                 1.0883,               0.005941,               0.005941,               0.005941
                    126,                  1.547,                 1.1052,                 1.2208,                0.70215,                0.75136,                0.71436,                0.44668,                 1.4379,                 1.4083,                 1.0849,               0.005908,               0.005908,               0.005908
                    127,                 1.5431,                 1.1026,                 1.2309,                 0.7103,                0.72579,                0.70751,                0.44472,                 1.4319,                 1.4021,                 1.0828,               0.005875,               0.005875,               0.005875
                    128,                 1.5506,                 1.1043,                 1.2223,                0.70586,                0.73014,                  0.709,                0.44475,                 1.4329,                 1.4074,                 1.0833,               0.005842,               0.005842,               0.005842
                    129,                   1.53,                 1.0834,                 1.2132,                0.70326,                 0.7383,                0.70891,                0.44543,                 1.4347,                 1.3966,                 1.0845,               0.005809,               0.005809,               0.005809
                    130,                 1.5289,                 1.0956,                 1.2176,                 0.7055,                0.73902,                0.71127,                0.44672,                 1.4344,                 1.4145,                 1.0852,               0.005776,               0.005776,               0.005776
                    131,                 1.5314,                  1.102,                 1.2134,                0.70203,                0.74092,                0.71113,                0.44719,                 1.4277,                 1.3949,                 1.0822,               0.005743,               0.005743,               0.005743
                    132,                 1.5365,                 1.0832,                 1.2227,                0.69787,                0.74776,                 0.7129,                0.44681,                 1.4283,                 1.3914,                  1.084,                0.00571,                0.00571,                0.00571
                    133,                  1.542,                 1.1021,                 1.2228,                0.70611,                0.74117,                0.71357,                 0.4503,                  1.426,                 1.3854,                 1.0835,               0.005677,               0.005677,               0.005677
                    134,                  1.517,                 1.0734,                 1.2129,                0.70258,                0.74646,                0.71631,                0.45086,                 1.4303,                 1.3892,                 1.0848,               0.005644,               0.005644,               0.005644
                    135,                 1.5295,                 1.0882,                 1.2188,                 0.7046,                0.74361,                0.71772,                0.45218,                 1.4296,                 1.3945,                 1.0852,               0.005611,               0.005611,               0.005611
                    136,                 1.5311,                 1.0758,                 1.2147,                0.70672,                0.74157,                0.71967,                0.45361,                 1.4268,                 1.3873,                 1.0836,               0.005578,               0.005578,               0.005578
                    137,                 1.5434,                 1.0985,                 1.2251,                0.71642,                0.73122,                 0.7187,                0.45193,                 1.4226,                  1.388,                 1.0827,               0.005545,               0.005545,               0.005545
                    138,                 1.5474,                 1.0995,                 1.2345,                0.70409,                0.73885,                0.71964,                0.45331,                 1.4239,                 1.3772,                 1.0826,               0.005512,               0.005512,               0.005512
                    139,                 1.5195,                 1.0832,                 1.2195,                0.70945,                 0.7373,                0.72033,                0.45397,                 1.4231,                 1.3811,                 1.0831,               0.005479,               0.005479,               0.005479
                    140,                 1.5276,                 1.0983,                 1.2225,                0.70744,                0.74465,                0.71936,                0.45318,                 1.4289,                 1.3763,                 1.0843,               0.005446,               0.005446,               0.005446
                    141,                 1.5162,                 1.0791,                 1.2083,                0.70778,                 0.7383,                0.71732,                0.45214,                 1.4281,                 1.3739,                 1.0843,               0.005413,               0.005413,               0.005413
                    142,                 1.5326,                 1.0879,                 1.2177,                 0.7143,                0.73454,                0.71659,                0.45415,                 1.4287,                 1.3761,                 1.0836,                0.00538,                0.00538,                0.00538
                    143,                 1.5355,                 1.0895,                 1.2176,                0.70575,                0.75554,                0.71738,                0.45417,                 1.4255,                 1.3741,                 1.0826,               0.005347,               0.005347,               0.005347
                    144,                 1.5293,                 1.0793,                 1.2191,                0.69972,                0.75408,                0.71592,                0.45465,                 1.4228,                 1.3724,                 1.0813,               0.005314,               0.005314,               0.005314
                    145,                 1.5195,                 1.0815,                 1.2166,                0.69936,                0.75938,                0.71687,                0.45398,                  1.425,                 1.3797,                 1.0817,               0.005281,               0.005281,               0.005281
                    146,                 1.5169,                 1.0793,                 1.2092,                0.70582,                0.74144,                0.71377,                0.45171,                 1.4242,                 1.3824,                 1.0806,               0.005248,               0.005248,               0.005248
                    147,                 1.5331,                 1.1001,                 1.2138,                0.69818,                0.75354,                 0.7147,                0.45151,                 1.4269,                 1.3782,                  1.081,               0.005215,               0.005215,               0.005215
                    148,                 1.5273,                 1.0802,                 1.2124,                0.69848,                0.75118,                0.71345,                 0.4509,                 1.4257,                 1.3794,                 1.0811,               0.005182,               0.005182,               0.005182
                    149,                 1.5138,                 1.0678,                 1.2081,                0.70189,                0.74973,                0.71455,                0.45063,                 1.4222,                 1.3817,                 1.0808,               0.005149,               0.005149,               0.005149
                    150,                 1.5253,                 1.0766,                 1.2167,                0.70957,                0.73885,                0.71272,                0.45024,                 1.4216,                 1.3811,                 1.0809,               0.005116,               0.005116,               0.005116
                    151,                 1.5013,                 1.0659,                 1.2061,                0.71077,                0.74157,                0.71226,                0.45043,                 1.4198,                 1.3833,                 1.0802,               0.005083,               0.005083,               0.005083
