                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.0992,                 2.0301,                0.90926,                 1.0132,                0.79672,                0.73377,                0.80118,                0.57299,                0.80955,                0.67081,                0.75146,                0.47205,                0.98646,                  1.951,                0.75118,                0.96722,               0.007393,               0.007393,               0.007393
                     82,                 1.1032,                 2.0349,                0.91556,                 1.0178,                0.84748,                0.71434,                0.80627,                 0.5802,                0.82127,                 0.6712,                0.75955,                0.47747,                0.97733,                 1.9065,                0.74051,                0.96093,                0.00736,                0.00736,                0.00736
                     83,                 1.0929,                 2.0268,                0.90722,                 1.0135,                0.83719,                0.71745,                0.80127,                0.56655,                0.81699,                0.67839,                0.75621,                0.46749,                 1.0145,                 1.9343,                0.72101,                0.97384,               0.007327,               0.007327,               0.007327
                     84,                 1.0936,                 2.0273,                0.90395,                 1.0152,                0.86057,                0.71486,                0.81411,                0.58307,                 0.8318,                 0.6782,                0.76581,                0.48121,                0.97454,                 1.8631,                0.73289,                0.95493,               0.007294,               0.007294,               0.007294
                     85,                 1.0857,                  2.025,                0.89961,                 1.0138,                0.86514,                0.71007,                0.81797,                0.59158,                0.84025,                0.67198,                0.76829,                0.48881,                0.94434,                 1.8511,                0.70373,                0.95307,               0.007261,               0.007261,               0.007261
                     86,                  1.092,                 2.0348,                0.90371,                 1.0141,                0.83067,                0.71308,                0.80707,                0.58333,                0.84529,                0.65618,                 0.7614,                0.48047,                0.96945,                 1.8925,                0.71766,                0.95601,               0.007228,               0.007228,               0.007228
                     87,                 1.0863,                 2.0089,                0.89064,                 1.0111,                0.84861,                0.71667,                0.80912,                0.58173,                 0.8345,                 0.6677,                0.76097,                0.47915,                0.97761,                 1.8832,                0.73234,                0.95717,               0.007195,               0.007195,               0.007195
                     88,                 1.0897,                 2.0186,                0.90314,                 1.0108,                0.83342,                0.71551,                0.80426,                0.56938,                0.81387,                0.66615,                 0.7562,                0.46821,                0.98913,                 1.8768,                0.74403,                0.96172,               0.007162,               0.007162,               0.007162
                     89,                 1.0824,                 2.0034,                0.88839,                 1.0112,                0.84348,                0.71667,                0.81156,                0.58989,                0.82625,                0.67461,                0.76102,                0.48178,                0.94566,                 1.8549,                0.70766,                0.95089,               0.007129,               0.007129,               0.007129
                     90,                 1.0822,                 2.0026,                0.88926,                 1.0082,                0.84495,                0.72483,                0.81622,                0.58517,                0.80562,                0.68636,                0.76485,                0.48371,                0.96171,                 1.8705,                0.71042,                0.95726,               0.007096,               0.007096,               0.007096
